Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alaska,0.182663192,0.416842463,0.387549046,1.303828162,1.574465642,1.241555891,0.317261651,0.075875572,0.281509717,1.035313509,0.145920872,0.110873212,0.428713089,0.105511123
Alba,0.283469254,0.040870567,0.304092017,0.12898601,0.166106984,0.115112515,0.475823391,0.12336162,0.200603242,0.253472508,0.237349257,0.757792808,0.183730072,0.216351534
Albay,0.201180277,0.049855171,0.101469936,0.158363483,0.176545958,1.298580565,0.323765344,0.077422147,0.33021719,0.685068699,0.093258496,0.109681376,0.035191885,0.195901494
Alberta,0.381076737,0.907385776,0.358234565,0.753254682,0.618839014,0.692404828,0.607861016,0.383931016,0.398154798,0.390443747,1.061617391,1.372207444,0.42284339,0.481666943
Aleppo,0.315618447,0.041167624,0.205838118,0.096057788,0.082335247,0.068612706,0.10978033,1.646704943,0.260728283,0.068612706,0.041167624,0.219560659,0.507734024,0.2332832
Alger,0.247364792,0.154602995,0.123682396,0.278285391,0.340126589,0.216444193,0.556570782,0.463808985,0.61841198,0.278285391,0.154602995,0.216444193,0.154602995,0.30920599
Ali Sabieh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alibori,46.03532507,0,0.93949643,0,5.636978579,2.81848929,15.03194288,8.455467869,9.394964299,2.81848929,1.87899286,4.69748215,0,0
Almaty,0.048796747,0.045447951,0.009687589,0.033607563,0.011122788,0.017820381,0.024757173,0.020212378,0.030139167,0.020571178,0.011361988,0.047361549,0.000837199,0.0003588
Alo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alsace,0.197036994,0.12641754,0.063935308,0.188899773,0.161291344,0.193258998,0.100843417,0.310086242,0.088346971,0.12118647,0.07962852,0.062191617,0.038942415,0.049113941
Alta Verapaz,0.524231591,0.407603081,0.359975252,0.51023617,0.363663968,0.700638993,1.094789111,0.763455651,0.899070197,0.715285364,0.474433929,1.688129875,1.12722811,0.861206616
Altay,0.06363468,0.085060325,0.018188677,0.170685835,0.083775814,0.19912491,0.114193037,0.073936459,0.068721344,0.223582002,0.149722614,0.122593739,0.106794253,0.081849047
Alto Paraguay,0.545440267,0.804386656,1.318333443,0.665323957,0.648899698,0.439791927,1.369437756,1.73191803,1.659654267,2.324620852,1.597769207,2.092015818,1.233755209,1.011796907
Alto Paran܁,1.256428653,1.935340221,3.073978687,2.713704675,1.51509245,0.642236968,1.161074693,0.938222564,0.244641156,0.464473024,0.934770837,1.525231898,0.545804343,0.672008114
Alytaus,0.187184293,0.188911085,0.235534479,0.380930396,0.828860337,0.467615373,0.715582757,0.691753023,0.416156961,0.769113321,2.307685321,0.671376873,0.741139284,0.680010835
Amambay,1.23053197,2.244375112,1.256418057,1.871855473,0.494064243,0.672866813,1.719967576,0.950070797,0.766125296,0.968928211,1.154073729,1.850255162,1.399562971,0.988471349
Amanat Al Asimah,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amap܁,0.114283071,0.114094336,0.080384646,0.136373257,0.116071949,0.106856764,0.090436829,0.113446073,0.182769213,0.087376042,0.113897395,0.166045662,0.118681414,0.105346885
Amasya,0.074277672,0.282255153,0.019807379,0.250563347,0.119834644,0.049518448,0.081210255,0.04753771,0.049518448,0.065364351,0.139642023,0.083190993,0.043576234,0.043576234
Amazonas,0.050638138,0.048114323,0.056938656,0.050284123,0.063353029,0.062666973,0.073859292,0.049097907,0.073104994,0.077169518,0.046883613,0.103040073,0.097639631,0.052870099
Ambeno,0.04698051,0.073080794,0.093961021,0.109621191,0.292323176,0.214022325,0.240122609,0.135721474,0.167041815,0.078300851,0.276663006,0.073080794,0.146161588,0.600306522
Amhara,0.036527221,0.112072155,0.009131805,0.036527221,0.077205262,0.04233837,0.048979683,0.054790831,0.094638709,0.080525919,0.078035427,0.118713468,0.178485284,0.244898413
Amman,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amnat Charoen,2.141565493,1.901157495,1.066637781,6.435749719,1.909447426,1.76575529,4.802633324,0.848336266,5.706235797,5.288975939,4.8496096,11.87670773,0.79583337,0.602401648
Ampara,0.146228681,0.105086374,0.093189803,0.211164129,0.143750228,0.122435539,0.135819181,0.139784705,0.252802126,0.22454777,0.147715752,0.530388773,0.182909773,0.121444158
Amran,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amsterdam and Saint-Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amur,0.442382521,0.511588753,0.299263135,0.607213194,0.214871855,0.604598683,0.246406635,1.656519747,0.541697801,0.264382905,0.48156806,2.357345294,0.105114595,0.180389223
An Nabatiyah,0.092848499,0.309494997,0.061898999,0.061898999,0.061898999,0.340444497,0.154747499,0.123797999,0.154747499,0.123797999,0.123797999,0.123797999,0,0.123797999
An Nuqat al Khams,0,0,0,0,0,0,0,0,0,0,0,0,0,0
An-Najaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anabar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anafu,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anambra,0.220136675,0.110068338,0.071395678,0.089244598,0.044622299,0.110068338,0.124942437,0.098169058,0.229061135,0.214187035,0.246910055,0.133866897,0.178489196,0.139816537
Anatoliki Makedonia kai Thraki,0.148899694,0.059476108,0.051936883,0.101151269,0.044188236,0.050052077,0.067643602,0.095078004,0.121465292,0.069109563,0.049004963,0.577797828,0.051936883,0.05528765
Ancash,0.128051102,0.039492396,0.031115221,0.047869571,0.071804356,0.038295657,0.03231196,0.035902178,0.063427181,0.059836963,0.043082614,0.068214138,0.076591313,0.031115221
Andaluc܍a,0.217000517,0.515587155,0.24231162,0.782956766,0.599451274,0.655810662,0.635139928,0.34625588,0.462096358,0.414427116,0.22256896,0.384138163,0.487576201,0.609069493
Andaman and Nicobar,0.206165283,0.275715017,0.238310118,0.030829819,0.517093506,0.119520341,0.116013632,0.253798084,0.122442599,0.113237487,0.014465176,0.101110117,0.069695847,0.167007029
Andhra Pradesh,0.105112521,0.095335926,0.155916906,0.147835675,0.150548256,0.191519534,0.246449303,0.423445226,0.465264186,0.129130167,0.588178021,0.394680563,0.120653351,0.226330993
Andijon,0.104098352,0.104098352,0,0,0,0.104098352,0.208196704,0.104098352,0,0,0,0.104098352,0,0
Andorra la Vella,0,0,0,0.161710248,0,0,0,0,0,0,0,0,0,0
